Tweet,Matched Keywords,Date,User,Source,Tweet ID,Tweet URL,Followers,Friends,Favorite
@SethAbramson I really wanna know the hushed words that Trump said to Kanye when they met.,Trump,2020-08-06 01:17:11,PatQuinnAds,Twitter Web App,1291181491393716225,https://twitter.com/statuses/1291181491393716225,22,64,0
"Obama built a great economy, Donald trump destroyed it! Don’t make the same mistake twice! https://t.co/5yjBfOcwcH",Trump,2020-08-06 01:17:11,jgnecco,Twitter for iPhone,1291181491028922368,https://twitter.com/statuses/1291181491028922368,185,74,0
Why does the GOP think that something is wrong with Biden's mental capacity and yet they don't see anything wrong with the idiot in chief?,Biden,2020-08-06 01:17:11,pearlfectlymj,Twitter for Android,1291181490815021058,https://twitter.com/statuses/1291181490815021058,2162,2952,0
@jankybrain If that happens can Biden beat Romney?,Biden,2020-08-06 01:17:10,firechiefwife52,Twitter for Android,1291181488843546624,https://twitter.com/statuses/1291181488843546624,1073,1322,0
Biden/West @JoeBiden,Biden,2020-08-06 01:17:10,1kzworld,Twitter for iPhone,1291181488667590656,https://twitter.com/statuses/1291181488667590656,3796,3637,0
"AXIOS on HBO: President Trump Exclusive Interview (Full Episode) | HBO https://t.co/6eC1r1JqHc via @YouTube   ✍🏼 future me, this was Sunmer 2020 😂",Trump,2020-08-06 01:17:10,luzrod28,Twitter for iPhone,1291181487186944002,https://twitter.com/statuses/1291181487186944002,17,350,0
"Senate Majority Leader Mitch McConnell said Tuesday that he could support an extension of the $600 unemployment benefit, if Trump backs it.",Trump,2020-08-06 01:17:09,HillBeverlyhill,Twitter for iPhone,1291181485978980353,https://twitter.com/statuses/1291181485978980353,34444,22619,0
"Biden should take the Montreal cognitive assessment test and have a physical just as Trump did.The American people have the right to know b/c
he's running for the highest office in the land. Biden has aged dramatically and appears exhausted.He can't put together sentences Scary.","Trump,Biden",2020-08-06 01:17:09,DebbieC2410,Twitter for Android,1291181485609947137,https://twitter.com/statuses/1291181485609947137,38,105,0
@SpeakerPelosi Trump and his party are BANKRUPT AMERICA,Trump,2020-08-06 01:17:09,NavitaGunter,Twitter for Android,1291181485345701889,https://twitter.com/statuses/1291181485345701889,146,319,0
"@JoeBiden ""I'd like to see Biden promise to reinstate any Justice Department official who resigns rather than break the 90-day rule. Putting a safety net under people acting ethically seems like a good idea.""",Biden,2020-08-06 01:17:09,from_runs,Twitter Web App,1291181485173571584,https://twitter.com/statuses/1291181485173571584,2,78,0
Biden has dementia people that's been around this watch Bidens interviews do not put future of America in Bidens hands we are doomed #Trump2020 https://t.co/koJIq0zJz2,"Trump,Biden",2020-08-06 01:17:09,johnwoo1971,Twitter for Android,1291181483936423936,https://twitter.com/statuses/1291181483936423936,16,49,0
"@PhilipWegmann Funny how trump accuses Obama of spying on him, yet shares a photo of Biden in his basement that could only have been taken if someone was spying on him....","Trump,Biden",2020-08-06 01:17:08,banaifeldstein,TweetDeck,1291181482082471942,https://twitter.com/statuses/1291181482082471942,875,336,0
"@KatiePavlich There wasn’t a peaceful transition of power. 
The Obama-Biden-Rice team led an attack on the incoming team. 
68 Democrats refused to go to the Inauguration. #TrumpPence2020 🇺🇸","Trump,Biden",2020-08-06 01:17:08,brenda_smith09,Twitter for iPhone,1291181481218514944,https://twitter.com/statuses/1291181481218514944,61,273,0
@tariqnasheed Speak for yourself! I’m voting for Biden! I loathe trump with every fiber of my being!,"Trump,Biden",2020-08-06 01:17:08,Soulful_Sule,Twitter for iPhone,1291181480920657922,https://twitter.com/statuses/1291181480920657922,732,232,0
@bonnievanasse #AmazingFauci/CDC/NIH/Democrats/Republocrats have worked tirelessly to deny Americans access to effective treatments for CCP-19.  How much unnecessary death and suffering have they caused? Why? They think it will help them defeat Trump. Evil.,Trump,2020-08-06 01:17:08,G9P32X,Twitter Web App,1291181480790695941,https://twitter.com/statuses/1291181480790695941,180,501,0
@lowery_pk Exactly. He's willing to hurt his own people for Trump.,Trump,2020-08-06 01:17:08,Mahogany1992,Twitter for Android,1291181480056586240,https://twitter.com/statuses/1291181480056586240,11631,10858,0
"IF that is IF Bunker Biden becomes the president, instead of world leader he will be a world clown.",Biden,2020-08-06 01:17:08,biglygal2,Twitter for iPhone,1291181479637090304,https://twitter.com/statuses/1291181479637090304,5,113,0
"""It will go away like things go away.""
@realDonaldTrump Here, let me help you construct a proper simile:

""It will go away like my presidency.""
""It will go away like the economy.""
""It will go away like the 1,000 lives lost today""

https://t.co/QhSlaE9ZFM",Trump,2020-08-06 01:17:08,BryanCornish3,Twitter Web App,1291181479393992705,https://twitter.com/statuses/1291181479393992705,39,171,0
"Falwell apologizes for unzipped pants photo: ‘I’m gonna try to be a good boy’ https://t.co/hZ7w1SALJe via @Yahoo Sure he’s going to Apologize. What a fake what a pervert. What would daddy say? We know what Trump would say, he grabbed her by your pussy! Another shame on America!",Trump,2020-08-06 01:17:08,RichFuller12,Twitter for iPhone,1291181478840328192,https://twitter.com/statuses/1291181478840328192,2,21,0
"If the Presidential debates happen, will Biden be allowed to wear an earpiece so someone can tell him what to say?",Biden,2020-08-06 01:17:08,Wil9Jr,Twitter Web App,1291181478626258944,https://twitter.com/statuses/1291181478626258944,40,182,0
I was very happy to see Trump speaking mostly in sentences,Trump,2020-08-06 01:17:08,emmakirkhowell,Twitter for iPhone,1291181478362124294,https://twitter.com/statuses/1291181478362124294,116,219,0
"Facebook removes Trump post for first time citing coronavirus misinformation rules  Twitter also clamps down

https://t.co/yOy9gjXE3E",Trump,2020-08-06 01:17:08,myboxerluvmac1,Twitter for Android,1291181478236348417,https://twitter.com/statuses/1291181478236348417,3739,3724,0
"@DonaldJTrumpJr How do you think your dad did on the interview?..If that was Joe Biden giving back the same answer as ur dad did,, what would you say then???","Trump,Biden",2020-08-06 01:17:08,Kapnkal,Twitter Web App,1291181478022393856,https://twitter.com/statuses/1291181478022393856,14,54,0
"Of course they did!

Facebook removes Trump post for first time citing coronavirus misinformation rules  Twitter also clamps down

https://t.co/uISKIT034W",Trump,2020-08-06 01:17:07,CoriMorse3,Twitter for iPad,1291181477703700482,https://twitter.com/statuses/1291181477703700482,1534,2184,0
"Trump Banned Tik Tok😢
I'm 💘 worried 😟 he'll 😈🅱 try 😐 to ban ✋🚫 Twitter 👽 next 👉. We're a collection 🤤 of free 🆓 thinking 🤔👕, high 🕛 IQ 💯😏🤓 individuals 👤 united 🇺🇸 against 🚫 hate 😲😠 and facism 🙋. We're basically 👨 his  worst 👹 enemy 😼👌💥",Trump,2020-08-06 01:17:07,xPENSANITYx,Twitter Web App,1291181477292642306,https://twitter.com/statuses/1291181477292642306,604,585,1
Trump considering unilateral action as stalemate over coronavirus relief continues https://t.co/gpf4x0qkza via @Yahoo,Trump,2020-08-06 01:17:07,AlanFis29828691,Twitter Web App,1291181476361445378,https://twitter.com/statuses/1291181476361445378,6,68,0
Trump’s Bank Was Subpoenaed by N.Y. Prosecutors in Criminal Inquiry https://t.co/FbUzdfY1OS,Trump,2020-08-06 01:17:07,BriHot,Twitter Web App,1291181476248260608,https://twitter.com/statuses/1291181476248260608,435,930,0
@selfdeclaredref Most of the republicans are the enemy too. We have known that for a long time. How many times has Trump been stabbed in back by them? Back Trump,Trump,2020-08-06 01:17:07,offshoretactics,Twitter Web App,1291181476072042497,https://twitter.com/statuses/1291181476072042497,207,192,0
"@DenverChannel This is another attempt by Republicans because they're so desperate to lose the election do you get people to vote third-party which takes away votes from Biden, it's comical the depths that Republicans will go to cheat the election!",Biden,2020-08-06 01:17:07,colomtbr,Twitter for iPhone,1291181475430375428,https://twitter.com/statuses/1291181475430375428,23,207,0
"#TrumpLiesEverytimeHeSpeaks 
All tRump has now are lies, lies and more lies. #TrumpIsAnIdiot https://t.co/W3VQA7aHji https://t.co/ABq4O2F56b",Trump,2020-08-06 01:17:07,RWolf5115,Twitter for iPad,1291181474717118464,https://twitter.com/statuses/1291181474717118464,2967,4292,0
"@mtsw in other words, the Onion's Biden",Biden,2020-08-06 01:17:07,bensh__,Twitter Web App,1291181474633449473,https://twitter.com/statuses/1291181474633449473,1140,979,0
@DonaldJTrumpJr I hear that Republicans can go to Yo Semite to find Biden’s cognitive test.,"Trump,Biden",2020-08-06 01:17:07,patriot4fr33,Twitter for iPhone,1291181473937207298,https://twitter.com/statuses/1291181473937207298,256,441,0
@VaughnWinchell Biden should say he’ll agree to the extra debate... once Trump releases his tax returns,"Trump,Biden",2020-08-06 01:17:07,waxmanj,Twitter for iPhone,1291181473798795264,https://twitter.com/statuses/1291181473798795264,164,1315,0
"@Pajjr2016 trump holding him self together again, just like a toddler.",Trump,2020-08-06 01:17:06,suzannamimi,Twitter Web App,1291181473593253889,https://twitter.com/statuses/1291181473593253889,359,742,0
@brandt_paul I believe the deep state is poisoning him like they did Reagan to keep him quiet. Biden is an evil man he deserves what's happening to him,Biden,2020-08-06 01:17:06,JustWannaLive7,Twitter for Android,1291181472473284610,https://twitter.com/statuses/1291181472473284610,4199,3626,0
Trump is the best,Trump,2020-08-06 01:17:06,LindaMeikle1,Twitter for Android,1291181471168966656,https://twitter.com/statuses/1291181471168966656,0,27,0
"What gives me pause is what Trump might pull before the election. Today, before any investigation completed, he publicly said the Explosion in Beirut was an Attack, when in fact it was an ammonia nitrate explosion.  He believes if we go to war the voters won't chg the Presidency",Trump,2020-08-06 01:17:06,fweber23,Twitter for Android,1291181469671600129,https://twitter.com/statuses/1291181469671600129,424,652,0
@ShiannonC What do u expect. Hes a trump supporter😂😂,Trump,2020-08-06 01:17:05,Zkuy8888,Twitter for iPhone,1291181468891447297,https://twitter.com/statuses/1291181468891447297,7365,6806,0
@laura_cwe Did he get his medical degree  from Trump University? https://t.co/P5qXAQs8Sl,Trump,2020-08-06 01:17:05,ComputeBlu,Twitter for Android,1291181468467834883,https://twitter.com/statuses/1291181468467834883,4237,4563,0
Protecting Joe Biden From a Debate https://t.co/CiHwcIUipT https://t.co/hEQbOuoZDO,Biden,2020-08-06 01:17:05,PunditBeacon,Twibble.io,1291181468371365895,https://twitter.com/statuses/1291181468371365895,0,30,0
"@JuliansRum Me too & I have very little money.
But President Trump must be 
re-elected. 
I want my Country saved.  💔❤🇺🇸",Trump,2020-08-06 01:17:05,browngravy_93,Twitter for Android,1291181467524046850,https://twitter.com/statuses/1291181467524046850,11735,11580,0
"Trump is perfectly willing to KILL AMERICAN CHILDREN,... if he thinks it helps him somehow. https://t.co/eOB7NO1k4o https://t.co/En0FB6zeFr",Trump,2020-08-06 01:17:05,Roshan_Rinaldi,Twitter Web App,1291181466878124032,https://twitter.com/statuses/1291181466878124032,6091,6675,0
"Leftist Twitter is too Trump curious. 

It’s fucking disgusting.",Trump,2020-08-06 01:17:05,AgentBigfoot,Twitter for iPad,1291181466492252160,https://twitter.com/statuses/1291181466492252160,626,807,0
"@TheRickWilson 
John Lewis: Good Trouble.  Consider the millions of protesters around the world who protested for justice.  Then imagine what will happen if Trump and Barr try to steal the 2020 Presidential election.  How many Wall of Mother’s will Barr have to bombard with gas?",Trump,2020-08-06 01:17:05,gitabrigitte,Twitter Web App,1291181466223861760,https://twitter.com/statuses/1291181466223861760,1,0,0
"What will YOU be doing at 11:33 tomorrow? 
Cause tRump will be shitting his pants! https://t.co/EW3d18j9sn",Trump,2020-08-06 01:17:05,ktthegr8one,Twitter for Android,1291181465569550337,https://twitter.com/statuses/1291181465569550337,1875,2326,0
@JamesMartinSJ Now do Biden,Biden,2020-08-06 01:17:04,stevedogma,Twitter for Android,1291181465301143553,https://twitter.com/statuses/1291181465301143553,525,1874,0
"My mind goes into a rage everytime I hear Trump’s rich daddy got him 5 draft deferments.  I did the volunteer draft in ‘71 and served in Nam.  I saw kids my own age killed who were drafted.  Had to put them in body bags and heft into the chopper.  Damn you, you coward, Trump. !!",Trump,2020-08-06 01:17:04,john08742078,Twitter for iPhone,1291181464697143296,https://twitter.com/statuses/1291181464697143296,18,109,0
"Coronavirus updates: Trump comments run afoul of Twitter, Facebook terms - ABC News - https://t.co/PZ0hkibWri via @ABC",Trump,2020-08-06 01:17:04,stbluvoter,Twitter Web App,1291181464457867264,https://twitter.com/statuses/1291181464457867264,19518,20996,0
@TeaPainUSA Hoping it's an arrest warrant for anyone named Trump.,Trump,2020-08-06 01:17:04,dwdod,Twitter for Android,1291181464084779008,https://twitter.com/statuses/1291181464084779008,9872,10378,0
@rickwtyler Rice is a good choice. There is Benghazi. Next to that we have thousands dead  millions infected & out of work in a pandemic   bounties on our soliders  Trump hanging on Putin like a maggot on a corpse. Were the allegations about Benghazi proven? Trump proves he's a fool daily.,Trump,2020-08-06 01:17:04,HerbanGoddess,Twitter for Android,1291181463673741312,https://twitter.com/statuses/1291181463673741312,440,916,0
"For those of you who watch mostly mainstream media news, know that some important information is being concealed from you—(1) Joe Biden appears to have a serious cognitive impairment, & gives evidence that he’s deteriorating each day  (2) Democrat violence is out of control!",Biden,2020-08-06 01:17:04,americanshomer,Twitter for iPhone,1291181462918696961,https://twitter.com/statuses/1291181462918696961,29098,28354,1
Facebook Censors President Trump: Takes Down Fox Interview Over Comments on Children and Coronavirus https://t.co/rRZQPC1xuk via @gatewaypundit,Trump,2020-08-06 01:17:04,FreeFlyer406,Twitter Web App,1291181461954068480,https://twitter.com/statuses/1291181461954068480,264,640,0
@usa_in_beijing The tRump aisle ... https://t.co/Ie42cnpSmm,Trump,2020-08-06 01:17:03,J_Clifford,Twitter for iPhone,1291181460599255040,https://twitter.com/statuses/1291181460599255040,6068,6298,1
RMT launches petition to halt jobs carnage at Trump Turnberry #Stock #MarketScreener https://t.co/H5zA0ix0fn https://t.co/ptfrS8X78z,Trump,2020-08-06 01:17:03,Market_Screener,Zonebourse Communauté,1291181460569939975,https://twitter.com/statuses/1291181460569939975,10765,73,0
"“Twitter banned President Donald Trump’s campaign account (@teamtrump) from tweeting on Wednesday for sharing of misinformation about COVID-19.

The social media platform said the president would be blocked from tweeting until he removes incorrect posts.” https://t.co/mfKFA7pPcH",Trump,2020-08-06 01:17:03,EllynThomps,Twitter for iPad,1291181460288937985,https://twitter.com/statuses/1291181460288937985,3735,4913,0
"@RelentlessYapp There is merit to this actually. Trump has been endorsing the establishment GOP candidates in every race. Session, Kobach, Reyes and soon to be Sethi going down means the GOP is picking the weaker candidates on immigration. It’s weird because their rhetoric has increased...",Trump,2020-08-06 01:17:03,AlkaliAxel,Twitter for iPhone,1291181460251119617,https://twitter.com/statuses/1291181460251119617,6,74,0
"Anyone know if this is ""true?""
You all want to see Trump really flip out? Shit is about to get real and fast! #DeutscheBank 
New York AG to make a #NationalMajorAnnouncement tmrw at 11:30.",Trump,2020-08-06 01:17:03,chobson47,Twitter Web App,1291181460230045697,https://twitter.com/statuses/1291181460230045697,286,684,0
Coronavirus: Twitter removes Trump campaign posts containing misinformation https://t.co/oP3eMJJsAQ,Trump,2020-08-06 01:17:03,AllThingsCBS47,SocialNewsDesk,1291181459261263873,https://twitter.com/statuses/1291181459261263873,1994,275,0
"@JudgeJeaninefan I voting for Trump s re-election!!!!! I wish all of conservatives media stop Criticizing JOE BIDEN!!!! You guys will make Dems realize that they need another leader, make him stepdown, then Trump will race against one of they EXPERIENCED SHARK!!!!!","Trump,Biden",2020-08-06 01:17:03,maryisa87463040,Twitter for iPhone,1291181459261263872,https://twitter.com/statuses/1291181459261263872,65,289,0
"@realDonaldTrump biden is corrupt just as his ole TERRORIST pal obama, what they've done to our country CAN NOT BE FORGOTTEN, biden and his son are CORRUPT, that's a FACT","Trump,Biden",2020-08-06 01:17:03,JimMarhevka,Twitter Web App,1291181459026382848,https://twitter.com/statuses/1291181459026382848,3116,3114,0
"Bahahahaha Bahahahaha. Douche!

Also...@realDonaldTrump when you get back could you look into the Russian Bounties on US troops?  Thanks! 

https://t.co/nDBdfcCZ90",Trump,2020-08-06 01:17:03,SimiWill,Twitter for iPhone,1291181458476785665,https://twitter.com/statuses/1291181458476785665,431,1096,0
@seanhannity Well biden is giving me chest pains!,Biden,2020-08-06 01:17:03,BagerGary,Twitter for iPhone,1291181457885532167,https://twitter.com/statuses/1291181457885532167,16,49,0
"I’d split a 30 of Hamm’s with Joe Biden, maybe catch a ballgame",Biden,2020-08-06 01:17:03,neoshmiberal,Twitter for iPhone,1291181457210318848,https://twitter.com/statuses/1291181457210318848,15,53,0
@CNNPolitics You still ask the question? If only Trump got this much benefit of the doubt.🙄,Trump,2020-08-06 01:17:02,Boo28967179,Twitter for Android,1291181456463663105,https://twitter.com/statuses/1291181456463663105,60,195,0
"Hey @SeanHannity, it is plain that Joe Biden's elevator does not make it all the way to the top floor...

BUT...

...would you please take a moment to explain the difference between Free Market Capitalism and Progressive Socialism?

How about giving us a 2nd reason to vote Trump?","Trump,Biden",2020-08-06 01:17:02,mikewCromwell,Twitter Web App,1291181456023343105,https://twitter.com/statuses/1291181456023343105,1865,3001,0
"Howard Kurtz Warns That ‘Trump Team Is Setting The Bar So Low’ For Biden Debate Performance

 https://t.co/RCvdzSBysD https://t.co/8vnW8Iw4Z7","Trump,Biden",2020-08-06 01:17:02,Reality_Alert,Buffer,1291181455905873920,https://twitter.com/statuses/1291181455905873920,52373,43889,0
"Watching @maddow talk about Barr’s plans to announce investigations against Biden to mess w/the election. Just so we’re clear, I don’t care if they show actual footage of him at a Christmas party frosting cookies in matching pjs with Charles Manson, I’m still voting for Biden!",Biden,2020-08-06 01:17:02,JustMeSillyV,Twitter for iPad,1291181455540977664,https://twitter.com/statuses/1291181455540977664,700,938,0
@JoeConchaTV Not Trump ! It was the Trump campaign account!,Trump,2020-08-06 01:17:02,lindaluvinlife1,Twitter for Android,1291181455285137408,https://twitter.com/statuses/1291181455285137408,3339,4995,0
Coronavirus: Twitter removes Trump campaign posts containing misinformation https://t.co/gdreHC2dHC,Trump,2020-08-06 01:17:02,WPXI,SocialNewsDesk,1291181455075401728,https://twitter.com/statuses/1291181455075401728,199088,3459,0
"@Bret_Sears Only if it is from Novavax. The new company to get the money from the DOD and Trump, which does things totally different with no aluminum, thimerasol, formaldehyde, or baby parts.  Check out the website, it seems a lot safer, and I work in healthcare, so theyll make me get it.",Trump,2020-08-06 01:17:02,veronicamcmack,Twitter Web App,1291181454781751296,https://twitter.com/statuses/1291181454781751296,683,1151,0
"People are dying after drinking hand sanitizer, CDC says (how many of these people are trump supporters? All of them? Probably) https://t.co/O6t0KelpGP",Trump,2020-08-06 01:17:02,chutneygray,Twitter for iPad,1291181454299471874,https://twitter.com/statuses/1291181454299471874,471,1649,0
"Facebook removes Trump COVID-19 post over 'misinformation,' reports say https://t.co/jhd1XN443k",Trump,2020-08-06 01:17:02,local24kim,SocialNewsDesk,1291181454244880384,https://twitter.com/statuses/1291181454244880384,670,385,0
"Very Urgent and Important letter about President Trump’s presidential campaign
@DonaldJTrumpJr https://t.co/nMSnRiOcOz",Trump,2020-08-06 01:17:02,Trump_USA_MAGA,Twitter Web App,1291181452978032640,https://twitter.com/statuses/1291181452978032640,1,35,0
"@mmpadellan Well there's always Parler they'll love you there Trump, and we can get some peace here.",Trump,2020-08-06 01:17:02,Essentialworker,Twitter for Android,1291181452864958465,https://twitter.com/statuses/1291181452864958465,7341,7648,1
"@stillgray Californian's Response: ""Hey man, we're, like, cool living under real tyranny. At least it's not Trump, am I right?""🙃",Trump,2020-08-06 01:17:01,LibertatemPax,Twitter Web App,1291181452521082881,https://twitter.com/statuses/1291181452521082881,1027,1606,0
Facebook removes Trump post falsely claiming #children are ‘almost immune’ to Covid-19 https://t.co/njKJ5YRaLo,Trump,2020-08-06 01:17:01,usacustomers,WordPress.com,1291181452244193280,https://twitter.com/statuses/1291181452244193280,3511,2460,0
Coronavirus stimulus: Trump floats executive order on suspending payroll tax but 'has limited authority' to do so https://t.co/nsUIIUlBGr by @denitsa_tsekova https://t.co/OnNfGqt90f,Trump,2020-08-06 01:17:01,YahooFinance,Buffer,1291181452118433793,https://twitter.com/statuses/1291181452118433793,968995,360,0
Trump campaign responds about his being banned from Twitter until he removes his Tweet 👇🏼 https://t.co/6yckkcm9NS,Trump,2020-08-06 01:17:01,Out5p0ken,Twitter Web App,1291181451434745858,https://twitter.com/statuses/1291181451434745858,21197,7222,0
"@r8dr4lfe75 Me neither 
But your vote will help him, him being trump obviously",Trump,2020-08-06 01:17:01,Chewythewookie1,Twitter Web App,1291181451229171712,https://twitter.com/statuses/1291181451229171712,12274,13210,0
"@thedailybeast Now that children have started having more contact with one another & non family adults, child infection rates & child death are both climbing...particularly in GOP states like FL. Children are now dying from COVID. Trump's lies are Death & he is guilty of #CrimesAgainstHumanity",Trump,2020-08-06 01:17:01,bfs465,Twitter Web App,1291181451153682432,https://twitter.com/statuses/1291181451153682432,820,579,0
@SusieTipton1 Seriously Trump has brought the worst out in people. So glad I live where I do.,Trump,2020-08-06 01:17:01,jasone44r,Twitter for iPhone,1291181451040481282,https://twitter.com/statuses/1291181451040481282,168,299,0
Facebook and Twitter target Trump over virus claim. Well finally the blue boys grew a pair of balls  https://t.co/lWg763bphn,Trump,2020-08-06 01:17:01,RealismG,Twitter for iPhone,1291181450964992010,https://twitter.com/statuses/1291181450964992010,239,225,0
"@lilithxsinclair Biden figured the left won't let Trump get 4 more years, no matter what. So, he tries to charm those center-right to bury Trump on election day
I believe historically, trying to get votes from the other side has proven to be the wrong strategy, but I'm not sure.","Trump,Biden",2020-08-06 01:17:01,BexZex,Twitter Web App,1291181450671337473,https://twitter.com/statuses/1291181450671337473,127,408,0
