Tweet,Matched Keywords,Date,User,Source,Tweet ID,Tweet URL,Followers,Friends,Favorite
What's next Rachel Maddow? It can only get worse for Trump. #MorningJoe,Trump,8/6/2020 10:14,UltramanBG,Twitter for Android,1.29E+18,https://twitter.com/statuses/1291316665121218566,449,510,0
@realTuckFrumper Trump and the GOP are white bread. I'm not surprised disappointing as it may be.,Trump,8/6/2020 10:14,FayKozlowski,Twitter Web App,1.29E+18,https://twitter.com/statuses/1291316662420021248,212,392,0
"@TyGregoryGrant Plausible at least if the race becomes much closer, but Biden is still leading quite handily, and is also leading in Iowa, North Carolina, Florida, Pennsylvania, Ohio and maybe even Texas.",Biden,8/6/2020 10:14,realistleft,Twitter Web App,1.29E+18,https://twitter.com/statuses/1291316662373888001,1070,330,0
Just look how far the Republican party and Donald Trump  have fallen  they're willing to harm your children just to make Benedict Donald Trump kind of look good which is impossible Trump and Republicans are child killers https://t.co/5NbyAGDjNt,Trump,8/6/2020 10:14,Johnnymal4,Twitter for Android,1.29E+18,https://twitter.com/statuses/1291316660708745216,1555,2281,0
It's the sixth of August and in Belgium the first non-symptomatic Corona tests are being taken. Only available for fraction of the population of the City of Antwerp. Trump is right about one thing: compared to us the USA has fantastic testing. #coronavirus #CoronaDeathsChampions,Trump,8/6/2020 10:14,TSAtheist,Twitter for Android,1.29E+18,https://twitter.com/statuses/1291316660369002497,312,327,0
1. I detest Trump. 2. Most of his posts should be deleted. 3. He didn’t express it well BUTThere is plenty of evidence that kids are not spreaders of Covid. There have been almost no deaths of healthy under 10’s. No  evidence of teachers infected by kids. Get them back to school!,Trump,8/6/2020 10:14,DrHoenderkamp,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1291316657227534336,1683,238,0
Donald Trump is even better than guns!!!,Trump,8/6/2020 10:14,SkittleCostanza,"Cheap Bots, Done Quick!",1.29E+18,https://twitter.com/statuses/1291316653041561600,10,55,0
"There is so much happening, so fast. The Trump Administration is working really hard, moving forward faster than a hurricane and achieving great things💯‼️ Thank You, Best President @realDonaldTrump https://t.co/D7kGMT8Y3W",Trump,8/6/2020 10:14,ariellaonewland,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1291316650462138369,25577,3249,0
"Trump was expected to say that he was negotiating a possible joint venture with Black’s company to turn the headquarters of The Sun-Times into a hotel & residential tower.

Black’s defense lawyers decided at the last minute not to have Trump testify.

#TrumpCrimeSyndicate",Trump,8/6/2020 10:14,MaggieDay55,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1291316645986627585,543,1451,0
@laura_cwe I'd tell him that he's rubbing his nose in Trump butt.. Getting stinky 😕 I'd ask to see his medical papers revoked,Trump,8/6/2020 10:14,tchevalier10,Twitter for Android,1.29E+18,https://twitter.com/statuses/1291316645877747717,1410,2038,0
As Trump sees the world. https://t.co/L6hpTtqPyq https://t.co/haeL23xOb0,Trump,8/6/2020 10:14,cowdisley,Twitter Web App,1.29E+18,https://twitter.com/statuses/1291316645042954241,162,380,0
@joshdcaplan I agree with President Trump,Trump,8/6/2020 10:14,melbajtex,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1291316644904566789,24,279,0
Keep trying. I would vote joe if he were in a straight jacket and slobbering before trump. https://t.co/Qolok23mFL,Trump,8/6/2020 10:14,cherylo79051832,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1291316642870366209,71,217,0
"UNREAL: Twitter Suspends Trump Campaign Account for Saying ""Children Almost Immune"" from COVID-19 -- BUT THEY'RE RIGHT! -- More Kids Die from Drowning, Car Accidents https://t.co/Y3tp9LaTsa via @gatewaypundit",Trump,8/6/2020 10:14,afmcp,Twitter Web App,1.29E+18,https://twitter.com/statuses/1291316641863815168,398,883,0
@tedcruz Any American that would hand their semi-automatic weapons over to Sleepy Joe Biden and Beto O'Rourke is not only stupid they are insane.,Biden,8/6/2020 10:14,Michael07643152,Twitter for Android,1.29E+18,https://twitter.com/statuses/1291316641645633536,2,31,0
@RufusKings1776 I bet Trump and his gang are heavily invested in it too. That's why they keep promoting this snake oil and ignoring the science.,Trump,8/6/2020 10:14,spmorton,Twitter Web App,1.29E+18,https://twitter.com/statuses/1291316634595069952,62,178,0
@AynRandPaulRyan Did he say something about the blacks being taken advantage of? This is far worst because he is misleading them. He should just come out and campaign for trump instead.,Trump,8/6/2020 10:14,rrjr724,Twitter for Android,1.29E+18,https://twitter.com/statuses/1291316633869234176,2199,2637,0
@ninoboxer Very true & sad. We will prevail & we will soon hear the laughter. Trump 2020!!!!,Trump,8/6/2020 10:14,Marir65Ruiz,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1291316632908959746,8527,6442,0
"I’m a physician living in developing country , not a single child contracted or transmitted COVID-19, Trump is right about children & Covid .",Trump,8/6/2020 10:14,HNEISHW,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1291316631067676673,111,260,0
"@realDonaldTrump President Trump Oleyyy.. 
President Trump Oleyyy.. 
President Trump Oleyyy...
President Trump Oleyyy .. 
President Trump Oleyyy... 
ı love you president trumpp",Trump,8/6/2020 10:14,kralUDS7,Twitter Web App,1.29E+18,https://twitter.com/statuses/1291316629054332928,239,141,0
"@TeamPelosi You and the Republicans better stop worrying about Trump,you better start worrying about the VOTERS whose children are starving,going without electricity,water a roof over their heads,because you all are acting like kids and will not pass the freaking stimulus.",Trump,8/6/2020 10:14,AnitaRGunter3,Twitter Web App,1.29E+18,https://twitter.com/statuses/1291316627619950592,59,369,0
@AdamCrigler Gotta be Trump again . It is always his fault,Trump,8/6/2020 10:14,Scott56786749,Twitter for Android,1.29E+18,https://twitter.com/statuses/1291316626080620545,17,55,0
"If things go correctly, they won't have to ban Trump. He'll be doing time and the Big House won't let him have twitter privileges. https://t.co/3py18ggPlO",Trump,8/6/2020 10:14,alegriaboulange,Twitter Web App,1.29E+18,https://twitter.com/statuses/1291316624742666240,669,520,0
"@CNN Where is Trumps outrage on Twitter...his speach tell America to be ashamed of themselves.

Nothing.

But in reality it was probably Trump making the threats",Trump,8/6/2020 10:14,PMcmany,Twitter for Android,1.29E+18,https://twitter.com/statuses/1291316620170653697,7,24,0
🤣🤣🤣🤣🤣🤣Obama-Appointed Judge Says ‘It Is What It Is’ While Fast-Tracking Case Against Trump Admin #SmartNews  https://t.co/Wb3tiOb0RH,Trump,8/6/2020 10:14,e391615r,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1291316613736624128,5490,5836,0
15 Republican Military Vets Lay Waste To Trump In Just 63 Seconds https://t.co/dyKKvBP4V5,Trump,8/6/2020 10:14,7SinsOfTrump,SmartNews | スマートニュース,1.29E+18,https://twitter.com/statuses/1291316595298463745,13143,13137,1
"@kanyewest & Trump have a lot in common. Both are narcissistic con men trying to promote their brands by destroying a nation. Both are liars, both are idiots, both care only about themselves and both are crazy, delusional psychopaths. https://t.co/q0FJxNLPx9",Trump,8/6/2020 10:14,TrumpTheCrimin1,Twitter Web App,1.29E+18,https://twitter.com/statuses/1291316593356689408,5600,5840,0
"From Aug 4
Ted, it is like Trump has read the script of Good Cop/Bad Cop and he thinks it is the same guy? He is doing both? Simultaneously? https://t.co/uctSgOrt5M",Trump,8/6/2020 10:14,tomiahonen,Twitter Web App,1.29E+18,https://twitter.com/statuses/1291316593151168513,54720,50632,0
"If you watched this interview and thought, “Wow. Trump handled himself very well and all of his answers were completely coherent and intelligent” then you’ve got serious cognition issues.
Trump's Mind-Numbing Interview with Axios | NowThis https://t.co/JFrkZj0PJi via @YouTube",Trump,8/6/2020 10:14,Adam_BTAwesome,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1291316592417091586,14,53,0
Once again...Trump. Never once was mentioned but they cant EVER stop thinking about him 😂😂 https://t.co/HqiNPDE5UG,Trump,8/6/2020 10:14,AmericaProud14,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1291316587182665728,181,199,0
@PrisonPlanet Can you imagine the exploding heads if Trump even hinted at something like this. In any case this would definitely be against human rights.,Trump,8/6/2020 10:14,GraveDave4,Twitter Web App,1.29E+18,https://twitter.com/statuses/1291316587031670785,21,5,0
"Facebook removes post from Donald Trump that made 'false claims' about coronavirus https://t.co/uM2dIS6U9B 
What sources does Trump use for these broad and wild generalisations made to the American public?",Trump,8/6/2020 10:14,peterwo44376851,Twitter Web App,1.29E+18,https://twitter.com/statuses/1291316585458626563,45,9,0
