Tweet,Matched Keywords,Date,User,Source,Tweet ID,Tweet URL,Followers,Friends,Favorite
"Reminder on Nov 3: 

“School nutrition was improving. Now the Trump administration is set to undo it” https://t.co/HW6kEjJ1hY",Trump,8/14/2020 9:36,lmnysf,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1294206227073785856,739,1475,0
"And he alleges “When Trump wanted to reach Russian President Vladimir Putin, via a secret back channel, I was tasked with making the connection.” says Cohen. This is what kind of man we are up against the Liar in Chief! Trump & Putin have been friends along time! https://t.co/rsjoLE3Y8K",Trump,8/14/2020 9:36,WillowNBirch,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1294206226553663489,12301,12584,3
@VincentCrypt46 When is all this hate going to stop? Enough already! And is it not the Dem's fault that the USPS didn't get money? The people saying it's Trump's fault are much louder than the one's saying it's the Dem's fault. We need to get loud.,Trump,8/14/2020 9:36,ExtraRustic,Twitter for Android,1.29E+18,https://twitter.com/statuses/1294206233692561414,33,73,2
"@WaterDean trump is doing what he does best create chaos, distract us all and dog whistle the base..",Trump,8/14/2020 9:36,47gene,Twitter Web App,1.29E+18,https://twitter.com/statuses/1294206233650626561,438,482,0
How Trump’s Attack on the Post Office Could Backfire - POLITICO https://t.co/baTtgY6QOB,Trump,8/14/2020 9:36,kjoerwin,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1294206232790740992,33923,31687,3
You sound like the GOP insisting big Corp bailouts were to save jobs. USPS sucks. Shame that Trump is literally trying to get rid of a gov agency to decrease no. of people voting but I simply don’t see how anyone thinks the postal service can’t be privatized/massively reduced. https://t.co/68Tc5vikNg,Trump,8/14/2020 9:36,Tilldog94,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1294206230865608704,397,482,0
"Trump's grandfather's letter, begging not to be deported as an illegal immigrant, makes an interested read | SBS Life https://t.co/VaMVYazLis via @SBSVoices",Trump,8/14/2020 9:36,Bigtrail2,Twitter Web App,1.29E+18,https://twitter.com/statuses/1294206236012019717,28,9,0
@NBCNews trump is clearly NOT WELL.,Trump,8/14/2020 9:36,simplyliz_63,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1294206240961241088,229,550,0
"HE IS SUCH A LOSER!! What a total embarrassment he is to this entire UNIVERSE!! If he doesnt like the question, he just ignores it and calls on the next reporter'Do you regret all your lying?' White House reporter's question startles Trump https://t.co/gZFL4z2Kfs",Trump,8/14/2020 9:36,lorie3487,Twitter for Android,1.29E+18,https://twitter.com/statuses/1294206240898158592,6,3,0
"@nascarred14 Who promised to put her in Jail & End The Rothschilds Fed Reserve? Trump! 1790: Mayer Amschel Rothschild states,
 ""Let me issue and control a nation's money and I care not who writes the laws."" 1791: The Rothschilds get, ""control of a nation's money https://t.co/m2WJJogoCj",Trump,8/14/2020 9:36,MichaelDCorby1,Twitter Web App,1.29E+18,https://twitter.com/statuses/1294206239254155265,336,1381,1
