Tweet,Matched Keywords,Date,User,Source,Tweet ID,Tweet URL,Followers,Friends,Favorite
"Trump, who told Obama to resign after one Ebola death, calls 160,000 COVID-19 deaths ""fantastic job"" https://t.co/sfAIyK94er #SmartNews",Trump,8/11/2020 23:59,wendydshaffer,SmartNews | スマートニュース,1.29E+18,https://twitter.com/statuses/1293336393821720576,9652,10514,0
"@charliekirk11 Especially now! Putin has an immunization, and the economy is on the rise! 2020 is a slam dunk for team Trump!",Trump,8/11/2020 23:59,cynthiaj5112,Twitter for Android,1.29E+18,https://twitter.com/statuses/1293336393306038272,1206,1733,2
"@NYGovCuomo Some Cuomo history :

In 2020, he chose to put covid positive patients into nursing homes, killing more than 7,000 people.

When this happened, Pres. Trump had the USNS Comfort standing by in the port, yet it remained empty - so did Javits and this one.. 

https://t.co/EEQZqSORfK",Trump,8/11/2020 23:59,BornFree_84,Twitter for Android,1.29E+18,https://twitter.com/statuses/1293336393205182464,96,966,1
@TeamTrump TRUMP 2020 🇺🇸🇺🇸🇺🇸,Trump,8/11/2020 23:59,ProudElephantUS,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336390957174784,6091,6017,2
"@SandaBlueDeux  Now I'm waiting for Joe to appoint Hillary as his AG, so she can conduct the investigation into Trump and Barr.",Trump,8/11/2020 23:59,dewaaier112,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336390432968704,2636,4828,1
Why I Am Confident Trump Will Smash the Left and Win                    - Frontpagemag https://t.co/xE6D2FiEpw,Trump,8/11/2020 23:59,Donadeedooda,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336390357233664,15170,15436,11
"What is Trump's definition of a ""man?""
https://t.co/wlK1EfXV4m https://t.co/5VHDrqPj5W",Trump,8/11/2020 23:59,Yvonne86288870,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336390097235968,6,13,0
"Since COVID hit, Trump has broken the all-time record three more times. By a lot.

It took 28 days for the debt to go from $24 to $25 trillion.
35 days for the debt to go from 25 to $26 trillion.
152 days for the debt to go from $23 to $24 trillion.",Trump,8/11/2020 23:59,TheValuesVoter,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336389942206471,8333,6381,47
I wish Biden all the luck in November.,Biden,8/11/2020 23:59,tagguh4,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336389623451649,6,68,0
"@lgbtragedy 1: I got death threats for being a Trumpie from random people when I hate Trump.
2: An asshole wouldn't leave me alone.
3: I call someone out for using the f slur and then get more death threats and have most of my friends on here hate me for it.",Trump,8/11/2020 23:59,Uranian_Blue,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336389359226880,127,307,0
Yeah at this rate let’s look forward to 4 more trump years https://t.co/6L7tusmxqK,Trump,8/11/2020 23:59,manguqueen,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336389183066113,201,275,0
@McAllisterDen It will be TRUMP / PENCE-- vs.-- joe & da ho...,Trump,8/11/2020 23:59,ChristopherVDMA,Twitter for iPad,1.29E+18,https://twitter.com/statuses/1293336387924656129,301,931,0
@SpeakerPelosi Quit your lying.  You dont give a crap about the children.  You just want to payoff your friends who have let their states go down the drain.  Trump out played you.,Trump,8/11/2020 23:59,DebBuch65056906,Twitter for iPad,1.29E+18,https://twitter.com/statuses/1293336387488342016,57,110,0
"@BreitbartNews Biden and his democrat ilk believe in killing unborn babies, so I guess that more in line with Kasich’s “biblical view”?  Kasich is a total RINO, I guess if you don’t have a good excuse, any excuse will due",Biden,8/11/2020 23:59,RealBaxley,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336387270389765,22,83,0
From the people who brought you Schrödinger's Biden comes Schrödinger's Harris: A Vice-Presidential candidate who is simultaneously against “Law & Order” but also a cop https://t.co/B3sTOZ3MoF,Biden,8/11/2020 23:59,EveningMusuko,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336387220054017,1038,2014,3
"Lemme get this straight, y’all... y’all actually thought Joe Biden would pick a good vp? Joe, “You ain’t Black if you don’t vote for me” Biden?  Come on y’all, this is 2020 we’re talking about https://t.co/RJ4Tmu42nM",Biden,8/11/2020 23:59,Mis_anth_rope,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336387157188615,764,494,11
"So what y’all saying is, y’all want trump still in office come November bc you don’t want to vote?",Trump,8/11/2020 23:59,BeuTfulStranger,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336387014537216,2195,632,1
@mscharliegirl75 He meant trump’s head weighs 150 pounds.,Trump,8/11/2020 23:59,kingbritt11,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336386913927169,3679,4806,1
@DilaFolay I think Kamala Harris is one of the worst picks that Joe Biden could have made... Congratulations on getting his pick correct by the way! I am 100% voting for Howie/Angela now but prior to Biden picking Harris I may of considered voting for Joe if he picked a Progressive VP!!,Biden,8/11/2020 23:59,Riku_DawnSeeker,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336386733580289,305,761,1
"y’all upset w biden but the president y’all chose could’ve but didn’t do better in these past 4 years. all i can remember is ratings, solamani, epstein, firing the ppl HE put into positionsbc they couldn’t stand him, mishandling almost every situation unless it came to passing",Biden,8/11/2020 23:59,kingzekeb,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336385043288064,87,99,4
biden realizing he can shit in someones mouth on live tv & liberals will still defend him https://t.co/eYziypSZUw,Biden,8/11/2020 23:59,yunghelios,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336384829190145,160,357,9
"Phony Kamala is only trending because Trumpers won't recognize over 22,000 lies or misleading statements Trump has iterated during his presidency. If youre going to call a phony, call your boy out. Fake president. No progress. America is shit because Trump would rather golf.",Trump,8/11/2020 23:59,Acepticon1,Twitter for Android,1.29E+18,https://twitter.com/statuses/1293336384271536129,6,143,3
Even Trump supported Harris and donated to her campaigns twice. He's gonna say he didn't doesn't and f make news but facts say diff. Lol Harris kicks pence ass all day,Trump,8/11/2020 23:59,dabnet2dabnet,Twitter for Android,1.29E+18,https://twitter.com/statuses/1293336384048992257,2517,2800,3
@Bencjacobs Trump is an Ivy League grad (UPenn) so not some that is always a recommendation,Trump,8/11/2020 23:59,jelliott_to,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336383742828544,93,240,1
"Trump regularly ""can't remember what he's said or been told,"" White House insider says https://t.co/nJJjHAIjYl",Trump,8/11/2020 23:59,Anon_Luenen,Paper.li,1.29E+18,https://twitter.com/statuses/1293336383357059072,39,119,1
"@Tom_Winter So, you’ve uncovered that Trump is NOT a racist then?",Trump,8/11/2020 23:59,brg4321,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336383311028224,26,557,0
"Here come the Biden/Harris t-shirts, banners and a virtual celebration of parties tonight.",Biden,8/11/2020 23:59,CindyMy13178850,Twitter for Android,1.29E+18,https://twitter.com/statuses/1293336383260680193,376,956,0
@shaunking With this pick for VP Biden is further away from having it in the bag. Voters rejected Harris as a presidential candidate - doubt she will do anything positive for the campaign,Biden,8/11/2020 23:59,BranTunstall,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336383122268161,95,327,0
@tracybeanz She is creating havock within the trump apologist world - pence and harris there is no comparison - here is trump’s check to harris as a bonus - https://t.co/6UIJ6BpniS,Trump,8/11/2020 23:59,JamieYaar,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336383075913728,828,3347,0
@Melissa0numbers Everyone lies here and there. Trump broke the scale decades ago.,Trump,8/11/2020 23:59,JoParkerBear,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336382652514305,13773,1571,1
@arnoldpeterso13 THANK YOU GOD. TRUMP CAN GET THINGS GOING,Trump,8/11/2020 23:59,Lynn80217236,Twitter for Android,1.29E+18,https://twitter.com/statuses/1293336382488956928,2850,2581,1
It does not matter who Biden picks as his VP the Democratic Party no longer exist it is a Marxist party we continue to move forward to November the Republicans versus the Marxist,Biden,8/11/2020 23:59,wethepe04706304,Twitter for iPad,1.29E+18,https://twitter.com/statuses/1293336382098690048,3675,5003,0
@evankmua Oh so you went to vote with her to know that lmaoo dumbass I follow trump on Facebook that doesn’t mean I support him. He’s the president and you gotta see the shit he posts. Good grief,Trump,8/11/2020 23:59,omarlannisters,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336382061117449,136,158,0
@realDonaldTrump Trump 2020 🇺🇸,Trump,8/11/2020 23:59,jhair_rivas,Twitter for Android,1.29E+18,https://twitter.com/statuses/1293336381930995716,1,183,0
I can't wait for the Debates. Trump speaking about how he saved Millions from certain death from the Coronavirus. Pence speaking about how Trump saved millions from certain death.,Trump,8/11/2020 23:59,carpell60,Twitter for Android,1.29E+18,https://twitter.com/statuses/1293336381423575040,40,117,0
@GOPLeader San Francisco doesn't have any cemeteries...what are we supposed to do with all of the COVID patients Trump killed?,Trump,8/11/2020 23:59,vardmin,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336381176066050,773,3304,0
Trump is the Ivy League elitist this cycle hahaha https://t.co/bgQ2xAkdR0,Trump,8/11/2020 23:59,jrsajr,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336380895002626,334,809,0
"If they say they are ""God loving"" ""America loving"" or ""Trump loving"" in all likelihood a privileged white person who refuses to share the stage with anyone of color or their working for the Kremlin. Beware of profiteering false prophets.",Trump,8/11/2020 23:59,deLIBERnATION,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336380744044551,3582,4630,0
‘Donny from Queens’: Trump’s call into a sports radio show reveals the politics behind his push to restart college football https://t.co/IokHl8IYHU,Trump,8/11/2020 23:59,TimJoeC,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336380408504320,351,43,0
@olori_sola I live Georgia so I know all about votes not working in our favor. I’m just not understanding the mindsets of people that would rather sit back and do nothing or complain that they’re not voting for Biden/Kamala.,Biden,8/11/2020 23:59,AnointedMisfit,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336379850719237,3733,2509,0
So it's Biden/Harris vs TP.,Biden,8/11/2020 23:59,DSMNONBINARY,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336379628322817,60,95,0
@ArmandoNDK But but Trump said she's a radical leftist which is it LOL LOL!!!,Trump,8/11/2020 23:59,HEYPHILLIP,Twitter for Android,1.29E+18,https://twitter.com/statuses/1293336378995085313,49,190,0
@NSFWTeaDrinker Biden will only make the people complaisant because they feel as if they did something to change things when in fact they did nothing.,Biden,8/11/2020 23:59,divinehemipenis,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336378969853953,1324,1326,1
@PopCrave I remember kamela attacking joe Biden in the campaign,Biden,8/11/2020 23:59,JoshuaMizrahim,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336378848182275,178,757,0
"Linda Sarsour is the woman that framed the 2020 election in a way that made me comfortable with my commitment to vote for Joe Biden. Anyone that knows me knows that although I committed to voting for the man, I was still having a lot of anxiety about it bc I dont like him. https://t.co/aHdYiHVFpI",Biden,8/11/2020 23:59,dukejamdogmom,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336377787129857,732,1291,3
@guardian BREAKING NEWS: Donald Trump just won re-election!,Trump,8/11/2020 23:59,APM_E11EVEN,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336377694838785,121,350,0
@PerryGagaSwifty But still biden still ain’t much better,Biden,8/11/2020 23:59,Peterssmilee,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336377417965568,147,180,2
@PodSaveAmerica Kamala said that she believed the women that accused Biden of sexual assault,Biden,8/11/2020 23:59,Dementia__Joe,Twitter for Android,1.29E+18,https://twitter.com/statuses/1293336377275428864,22,27,0
@DonaldJTrumpJr Lol lol trump men are truly afraid of women,Trump,8/11/2020 23:59,firedancer50,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336377027788800,893,1314,0
"Biden has picked a running mate, unleash the Twitter!  Woe be the day.",Biden,8/11/2020 23:59,l1hayden,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336376633679875,38,351,0
Timcast IRL -  Biden Picked Kamala Harris As VP And The Internet Can't S... https://t.co/xCwNRjv5rQ via @YouTube,Biden,8/11/2020 23:59,SocialScoreZero,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336376201576456,444,1182,0
@RealTina40 Joe Biden blows it for Joe Biden,Biden,8/11/2020 23:59,JohnRob28180518,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336375194988548,3073,4264,0
@KimMangone She hates Trump and she REALLY HATES Barr and Cavanaugh. 👍,Trump,8/11/2020 23:59,DailyGomiuri,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336375186554882,1310,1430,0
@8stvrs Biden has no control over any of his own political action,Biden,8/11/2020 23:59,whofearsincels,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336375148724224,255,668,0
"@parscale According to Trump campaign 
Sniffing bad.  Grabbing women by the p*ssy good. Your really are bad at your job which is why Trump fired you. 😂",Trump,8/11/2020 23:59,JayDen5210,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336374456786945,49,262,0
'Key positive' given Biden's age: David Axelrod cites internal data gauging Kamala Harris as ready to be president https://t.co/ucUwlqjGtK,Biden,8/11/2020 23:59,bobgaree1,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336374431690752,2559,2985,0
Tell me how cancel culture can literally cancel anyone except for Donald Trump ?,Trump,8/11/2020 23:59,victoriaaxxxo,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336374351986688,100,181,3
"Biggest win in USA history coming Nov 3, Trump! https://t.co/Vc2ESIxf0k",Trump,8/11/2020 23:59,jim11jim,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336373701664768,371,385,0
@neiltyson Wait.... you talkin bout Trump or Harris?,Trump,8/11/2020 23:59,finishit28,Twitter for Android,1.29E+18,https://twitter.com/statuses/1293336372778942464,2,33,0
@JacksackPhD The Arizona ones are comedy gold lmao. There was one that was like “this what happened if this was Biden’s American” and it was lady calling the cops and taking their sweet time getting there so she died by a home burglar,Biden,8/11/2020 23:59,mexicanmamba93,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336372699205632,927,1994,1
@CNN trump keeps touting a reduction in COVID cases. But didn’t he take reporting away from the cdc for the purpose of manipulating the numbers just like everything else he’s trying to manipulate like USPS etc,Trump,8/11/2020 23:59,Favormyke,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336372598775809,9,60,0
"@FoxNews Trump is afraid of women. If it wasn't for daddy's money he inherited, I doubt he would even be brave enough to talk with a woman.",Trump,8/11/2020 23:59,Countryb4P,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336372456165378,89,439,0
"@Squarenotaround In Maryland your vote especially doesn’t matter, Hilary doubled up Trump here. It only matters in like 6 states, pretty bad system tbh",Trump,8/11/2020 23:59,walshsgrapejam,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336372053446657,166,313,2
"@kirstiealley Pelosi, Schumer, Biden, Harris and Nadler",Biden,8/11/2020 23:59,Tee_time54321,Twitter for iPhone,1.29E+18,https://twitter.com/statuses/1293336371864563712,3,44,0
@christianllamar Don’t forget Trump is running against Big Media and mail in ballots.,Trump,8/11/2020 23:59,mosmithwick,Twitter Web App,1.29E+18,https://twitter.com/statuses/1293336371248025600,25,137,0
@RepDougCollins Says the guy who was silent about the Trump administration locking up kids on the border and breaking up families which may never be reunited because they couldn't be bothered ro keep track of them,Trump,8/11/2020 23:59,Zenaphobe,Twitter for Android,1.29E+18,https://twitter.com/statuses/1293336370958786566,531,921,0
